Current,Time,Reading #
+006.7753E-12,0.0,0
+0054.001E-12,1.2348669999992126,1
+0073.673E-12,1.8856319999995321,2
+0074.597E-12,2.492519999999786,3
+0074.489E-12,3.088830999999118,4
+0074.543E-12,3.683231999999407,5
+0074.545E-12,4.278994999998758,6
+0074.586E-12,4.874813000000358,7
+0074.592E-12,5.468899999999849,8
+0074.605E-12,6.064481999999771,9
+0074.642E-12,6.671299999999974,10
+0074.649E-12,7.266965999999229,11
+0074.643E-12,7.862814999998591,12
+0074.620E-12,8.458685999999943,13
+0074.683E-12,9.054173999998966,14
+0074.672E-12,9.660985999998957,15
+0074.650E-12,10.256741999999576,16
+0074.671E-12,10.85221300000012,17
+0074.670E-12,11.448763000000326,18
+0074.694E-12,12.043257999999696,19
+0074.708E-12,12.639836000000287,20
+0074.651E-12,13.234624999999141,21
+0074.669E-12,13.830857999999353,22
+0074.658E-12,14.425799999999072,23
+0074.708E-12,15.031245000000126,24
+0074.714E-12,15.62659899999926,25
+0074.725E-12,16.222218999999313,26
+0074.694E-12,16.8298020000002,27
+0074.660E-12,17.425693999999567,28
+0074.653E-12,18.021660000000338,29
+0074.687E-12,18.618499000000156,30
+0074.684E-12,19.215727999999217,31
+0074.702E-12,19.811727999998766,32
+0074.657E-12,20.418002000000342,33
+0074.685E-12,21.013410999999905,34
+0074.701E-12,21.620778999998947,35
+0074.712E-12,22.21531700000014,36
+0074.706E-12,22.811109000000215,37
+0074.802E-12,23.417625000000044,38
+0074.785E-12,24.01382999999987,39
+0074.740E-12,24.607882999998765,40
+0074.727E-12,25.203600999999253,41
+0074.796E-12,25.799211999999898,42
+0074.740E-12,26.39516899999944,43
+0074.742E-12,26.991015999999945,44
+0074.753E-12,27.586401999998998,45
+0074.747E-12,28.194218999999066,46
+0074.741E-12,28.790246999999,47
+0074.723E-12,29.386043999998947,48
+0074.722E-12,29.981544000000213,49
+0074.718E-12,30.577218000000357,50
+0074.690E-12,31.172999000000345,51
+0074.674E-12,31.76795099999981,52
+0074.696E-12,32.374110999999175,53
+0074.689E-12,32.96993999999904,54
+0074.725E-12,33.56653000000006,55
+0074.707E-12,34.163798999999926,56
+0074.662E-12,34.75822700000026,57
+0074.730E-12,35.3539669999991,58
+0074.762E-12,35.949015000000145,59
+0074.759E-12,36.54476999999861,60
+0074.739E-12,37.13989899999979,61
+0074.725E-12,37.73565400000007,62
+0074.708E-12,38.331826999999976,63
+0074.723E-12,38.92506200000025,64
+0074.753E-12,39.52048399999876,65
+0074.724E-12,40.11672799999906,66
+0074.704E-12,40.71272200000021,67
+0074.759E-12,41.31893399999899,68
+0074.764E-12,41.92583000000013,69
+0074.737E-12,42.52146899999934,70
+0074.700E-12,43.117317000000185,71
+0074.693E-12,43.72388499999943,72
+0074.740E-12,44.31942100000015,73
+0074.729E-12,44.91661599999861,74
+0074.711E-12,45.51358999999866,75
+0074.658E-12,46.10946200000035,76
+0074.669E-12,46.70667700000013,77
+0074.668E-12,47.302857999999105,78
+0074.666E-12,47.89761999999973,79
+0074.696E-12,48.49453600000015,80
+0074.668E-12,49.094811999999365,81
+0074.665E-12,49.690623999998934,82
+0074.651E-12,50.29610799999864,83
+0074.656E-12,50.90251799999896,84
+0074.647E-12,51.4996689999989,85
+0074.625E-12,52.095782999998846,86
+0074.558E-12,52.69113099999959,87
+0074.706E-12,53.286095999999816,88
+0074.659E-12,53.89409399999931,89
+0074.633E-12,54.489942000000156,90
+0074.640E-12,55.08425100000022,91
+0074.735E-12,55.68064499999855,92
+0074.670E-12,56.288720999998986,93
+0074.697E-12,56.885605999999825,94
+0074.667E-12,57.48249599999872,95
+0074.673E-12,58.08898500000032,96
+0074.657E-12,58.68478200000027,97
+0074.665E-12,59.28054499999962,98
+0074.663E-12,59.887587999999596,99
+0074.681E-12,60.48479299999963,100
+0074.754E-12,61.08086699999876,101
+0074.704E-12,61.68769499999871,102
+0074.684E-12,62.28345999999874,103
+0074.693E-12,62.87989099999868,104
+0074.713E-12,63.47544899999957,105
+0074.700E-12,64.07278299999962,106
+0074.717E-12,64.66845099999955,107
+0074.713E-12,65.26567799999975,108
+0074.685E-12,65.8713059999991,109
+0074.661E-12,66.46873099999902,110
+0074.657E-12,67.06463599999915,111
+0074.653E-12,67.66097999999874,112
+0074.697E-12,68.25670699999864,113
+0074.711E-12,68.87411999999858,114
+0074.735E-12,69.47987999999896,115
+0074.693E-12,70.09781300000031,116
+0074.688E-12,70.69272799999999,117
+0074.715E-12,71.29948399999921,118
+0074.711E-12,71.89507500000036,119
+0074.714E-12,72.49052200000006,120
+0074.671E-12,73.0874359999998,121
+0074.666E-12,73.69395599999916,122
+0074.662E-12,74.30080999999882,123
+0074.674E-12,74.90726600000016,124
+0074.636E-12,75.51418199999898,125
+0074.666E-12,76.11067999999977,126
+0074.680E-12,76.70766299999923,127
+0074.677E-12,77.31552399999964,128
+0074.774E-12,77.91263099999924,129
+0074.656E-12,78.51981899999919,130
+0074.642E-12,79.11470399999962,131
+0074.611E-12,79.72267599999941,132
+0074.601E-12,80.3185029999986,133
+0074.587E-12,80.92564899999888,134
+0074.600E-12,81.52093499999864,135
+0074.636E-12,82.11525299999994,136
+0074.632E-12,82.70985599999949,137
+0074.607E-12,83.31489399999919,138
+0074.611E-12,83.91075699999965,139
+0074.633E-12,84.506797,140
+0074.615E-12,85.10183200000029,141
+0074.586E-12,85.69604699999945,142
+0074.598E-12,86.30121299999882,143
+0074.592E-12,86.89621799999986,144
+0074.585E-12,87.49279799999931,145
+0074.593E-12,88.08705799999916,146
+0074.561E-12,88.68184099999962,147
+0074.590E-12,89.27765399999953,148
+0074.590E-12,89.87377799999922,149
+0074.619E-12,90.48153699999966,150
+0074.617E-12,91.07788999999866,151
+0074.641E-12,91.67354899999918,152
+0074.601E-12,92.27066199999899,153
+0074.611E-12,92.8675549999989,154
+0074.614E-12,93.47578499999872,155
+0074.652E-12,94.08190599999944,156
+0074.642E-12,94.67717699999957,157
+0074.591E-12,95.27284399999917,158
+0074.614E-12,95.86690999999882,159
+0074.619E-12,96.4624960000001,160
+0074.638E-12,97.05880199999956,161
+0074.640E-12,97.65541999999914,162
+0074.652E-12,98.25179599999865,163
+0074.660E-12,98.84873199999856,164
+0074.652E-12,99.44576599999891,165
+0074.659E-12,100.0415009999997,166
+0074.600E-12,100.6372709999996,167
+0074.576E-12,101.23320400000011,168
+0074.620E-12,101.82927599999857,169
+0074.635E-12,102.42504499999995,170
+0074.613E-12,103.01991799999996,171
+0074.597E-12,103.62746399999924,172
+0074.577E-12,104.22314399999959,173
+0074.601E-12,104.81897799999933,174
+0074.621E-12,105.41569600000003,175
+0074.613E-12,106.0116399999988,176
+0074.643E-12,106.6077949999999,177
+0074.638E-12,107.20339799999965,178
+0074.656E-12,107.7996379999986,179
+0074.688E-12,108.39915800000017,180
+0074.668E-12,108.99496100000033,181
+0074.669E-12,109.58930200000032,182
+0074.626E-12,110.18501699999979,183
+0074.614E-12,110.77892999999858,184
+0074.588E-12,111.38425199999983,185
+0074.598E-12,111.9807209999999,186
+0074.586E-12,112.57626299999902,187
+0074.615E-12,113.17166199999883,188
+0074.608E-12,113.76730399999906,189
+0074.609E-12,114.38492399999996,190
+0074.600E-12,114.98007799999868,191
+0074.546E-12,115.5742680000003,192
+0074.565E-12,116.18188199999895,193
+0074.595E-12,116.77816100000018,194
+0074.606E-12,117.37468999999874,195
+0074.564E-12,117.97020799999882,196
+0074.565E-12,118.56743300000016,197
+0074.593E-12,119.16322799999944,198
+0074.545E-12,119.75975499999913,199
+0074.601E-12,120.35646300000008,200
+0074.564E-12,120.95275599999877,201
+0074.580E-12,121.54948599999989,202
+0074.585E-12,122.14505300000019,203
+0074.571E-12,122.73903400000017,204
+0074.618E-12,123.33429799999976,205
+0074.651E-12,123.94153799999913,206
+0074.629E-12,124.53701100000035,207
+0074.624E-12,125.13119899999947,208
+0074.596E-12,125.72779699999955,209
+0074.622E-12,126.32360899999912,210
+0074.605E-12,126.91985299999942,211
+0074.631E-12,127.51410199999918,212
+0074.609E-12,128.120488999999,213
+0074.632E-12,128.71654399999898,214
+0074.667E-12,129.31228499999997,215
+0074.664E-12,129.9086389999993,216
+0074.650E-12,130.5041799999999,217
+0074.631E-12,131.09796399999868,218
+0074.616E-12,131.69383099999868,219
+0074.674E-12,132.28707699999904,220
+0074.658E-12,132.8823169999996,221
+0074.674E-12,133.4795009999998,222
+0074.616E-12,134.07669499999975,223
+0074.648E-12,134.6734180000003,224
+0074.624E-12,135.26901799999905,225
+0074.618E-12,135.86480800000027,226
+0074.629E-12,136.46050699999978,227
+0074.637E-12,137.06782399999975,228
+0074.602E-12,137.67287899999974,229
+0074.583E-12,138.2677960000001,230
+0074.568E-12,138.86376000000018,231
+0074.467E-12,139.4607509999987,232
+0074.546E-12,140.06613499999912,233
+0074.582E-12,140.66105199999947,234
+0074.554E-12,141.25632099999893,235
+0074.607E-12,141.85204599999997,236
+0074.596E-12,142.44720499999858,237
+0074.576E-12,143.05452999999943,238
+0074.633E-12,143.65114499999981,239
+0074.622E-12,144.25821799999903,240
